ID,Timestamp,Question ID,Answer 0,Answer 1,Answer 2,Answer 3,Answer 4
1,Fri May 17 2024 01:36:43 GMT+0900 (대한민국 표준시),id0,1,0,0,0,0
2,Fri May 17 2024 01:36:43 GMT+0900 (대한민국 표준시),id1,1,0,0,0,0
3,Fri May 17 2024 01:36:43 GMT+0900 (대한민국 표준시),id2,1,0,0,0,0
4,Fri May 17 2024 01:43:29 GMT+0900 (대한민국 표준시),id0,0,1,0,0,0
5,Fri May 17 2024 01:43:29 GMT+0900 (대한민국 표준시),id1,0,0,1,0,0
6,Fri May 17 2024 01:43:29 GMT+0900 (대한민국 표준시),id2,0,1,0,0,0
7,Fri May 24 2024 18:57:25 GMT+0900 (대한민국 표준시),id0,1,0,0,0,0
8,Fri May 24 2024 18:57:25 GMT+0900 (대한민국 표준시),id1,1,0,0,0,0
9,Fri May 24 2024 18:57:25 GMT+0900 (대한민국 표준시),id2,1,0,0,0,0
10,Fri May 24 2024 18:59:11 GMT+0900 (대한민국 표준시),id0,0,0,0,0,1
11,Fri May 24 2024 18:59:11 GMT+0900 (대한민국 표준시),id1,0,0,0,0,1
12,Fri May 24 2024 18:59:11 GMT+0900 (대한민국 표준시),id2,0,0,0,0,1
